ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit
PV_RFT,BajaCalif,2020,fixed,131.5524138,1,1.315524138,1,0,1,1000,100,1000,25,0.13,0.00000189,100,0.1,energy,solar,electricity,1
NUCL,BajaCalif,2020,fixed,157.68,1,3.1536,1,0,1,1000,100,1000,25,0.9,0.00000189,100,0.1,energy,uranium,electricity,1
BIO,BajaCalifSouth,2020,fixed,96.7212313,1,1.45081847,1,0,1,1000,100,1000,25,0.5,0.00000189,35,0.1,energy,biomass,electricity,1
BIO_CCS,BajaCalifSouth,2020,fixed,155.6358597,1,2.334537896,1,0,1,1000,100,1000,25,0.5,0.00000189,34,0.1,energy,biomass,electricity,1
COAL,BajaCalifSouth,2020,fixed,45.76448902,1,0.91528978,1,0,1,1000,100,1000,25,0.7,0.00000189,35,0.1,energy,coal,electricity,1
COAL_CCS,BajaCalifSouth,2020,fixed,91.528978,1,2.9488249,1,0,1,1000,100,1000,25,0.7,0.00000189,34,0.1,energy,coal,electricity,1
GAS_GT,BajaCalifSouth,2020,fixed,17.61349516,1,0.704539807,1,0,1,1000,100,1000,25,0.9,0.00000189,38,0.1,energy,gas,electricity,1
GAS_CC,BajaCalifSouth,2020,fixed,24.16946163,1,0.604236541,1,0,1,1000,100,1000,25,0.9,0.00000189,50,0.1,energy,gas,electricity,1
GAS_CC_CCS,BajaCalifSouth,2020,fixed,39.87961169,1,0.996990292,1,0,1,1000,100,1000,25,0.9,0.00000189,45,0.1,energy,gas,electricity,1
OIL,BajaCalifSouth,2020,fixed,44.0337379,1,1.05680971,1,0,1,1000,100,1000,25,0.8,0.00000189,35,0.1,energy,hfo,electricity,1
GEOTH,BajaCalifSouth,2020,fixed,261.2740281,1,5.225480564,1,0,1,1000,100,1000,25,0.9,0.00000189,35,0.1,energy,geo,electricity,1
HYD,BajaCalifSouth,2020,fixed,50.09136676,1,1.001827335,1,0,1,1000,100,1000,25,0.9,0.00000189,90,0.1,energy,water,electricity,1
WIND_ON,BajaCalifSouth,2020,fixed,51.09268512,1,0.766390277,1,0,1,1000,100,1000,25,0.2,0.00000189,100,0.1,energy,wind,electricity,1
WIND_OFF,BajaCalifSouth,2020,fixed,132.1765251,1,3.965295754,1,0,1,1000,100,1000,25,0.25,0.00000189,100,0.1,energy,wind,electricity,1
PV_GND,BajaCalifSouth,2020,fixed,63.65439379,1,0.636543938,1,0,1,1000,100,1000,25,0.13,0.00000189,100,0.1,energy,solar,electricity,1
PV_RFT,BajaCalifSouth,2020,fixed,131.5524138,1,1.315524138,1,0,1,1000,100,1000,25,0.13,0.00000189,100,0.1,energy,solar,electricity,1
NUCL,BajaCalifSouth,2020,fixed,157.68,1,3.1536,1,0,1,1000,100,1000,25,0.9,0.00000189,100,0.1,energy,uranium,electricity,1
BIO,Peninsular,2020,fixed,96.7212313,1,1.45081847,1,0,1,1000,100,1000,25,0.5,0.00000189,35,0.1,energy,biomass,electricity,1
BIO_CCS,Peninsular,2020,fixed,155.6358597,1,2.334537896,1,0,1,1000,100,1000,25,0.5,0.00000189,34,0.1,energy,biomass,electricity,1
COAL,Peninsular,2020,fixed,45.76448902,1,0.91528978,1,0,1,1000,100,1000,25,0.7,0.00000189,35,0.1,energy,coal,electricity,1
COAL_CCS,Peninsular,2020,fixed,91.528978,1,2.9488249,1,0,1,1000,100,1000,25,0.7,0.00000189,34,0.1,energy,coal,electricity,1
GAS_GT,Peninsular,2020,fixed,17.61349516,1,0.704539807,1,0,1,1000,100,1000,25,0.9,0.00000189,38,0.1,energy,gas,electricity,1
GAS_CC,Peninsular,2020,fixed,24.16946163,1,0.604236541,1,0,1,1000,100,1000,25,0.9,0.00000189,50,0.1,energy,gas,electricity,1
GAS_CC_CCS,Peninsular,2020,fixed,39.87961169,1,0.996990292,1,0,1,1000,100,1000,25,0.9,0.00000189,45,0.1,energy,gas,electricity,1
OIL,Peninsular,2020,fixed,44.0337379,1,1.05680971,1,0,1,1000,100,1000,25,0.8,0.00000189,35,0.1,energy,hfo,electricity,1
GEOTH,Peninsular,2020,fixed,261.2740281,1,5.225480564,1,0,1,1000,100,1000,25,0.9,0.00000189,35,0.1,energy,geo,electricity,1
HYD,Peninsular,2020,fixed,50.09136676,1,1.001827335,1,0,1,1000,100,1000,25,0.9,0.00000189,90,0.1,energy,water,electricity,1
WIND_ON,Peninsular,2020,fixed,51.09268512,1,0.766390277,1,0,1,1000,100,1000,25,0.2,0.00000189,100,0.1,energy,wind,electricity,1
WIND_OFF,Peninsular,2020,fixed,132.1765251,1,3.965295754,1,0,1,1000,100,1000,25,0.25,0.00000189,100,0.1,energy,wind,electricity,1
PV_GND,Peninsular,2020,fixed,63.65439379,1,0.636543938,1,0,1,1000,100,1000,25,0.13,0.00000189,100,0.1,energy,solar,electricity,1
PV_RFT,Peninsular,2020,fixed,131.5524138,1,1.315524138,1,0,1,1000,100,1000,25,0.13,0.00000189,100,0.1,energy,solar,electricity,1
NUCL,Peninsular,2020,fixed,157.68,1,3.1536,1,0,1,1000,100,1000,25,0.9,0.00000189,100,0.1,energy,uranium,electricity,1
