asset,year,region,installed,technology,capacity
6,2049,Eastern,2020,Hydroelectric,265.01100000000
6,2050,Eastern,2020,Hydroelectric,57.53100000000
7,2030,Eastern,2020,IC,0.50100000000
7,2035,Eastern,2020,IC,0.47600000000
7,2040,Eastern,2020,IC,0.45200000000
7,2045,Eastern,2020,IC,0.42900000000
7,2049,Eastern,2020,IC,0.41220000000
7,2050,Eastern,2020,IC,0.40800000000
8,2030,Eastern,2020,Nuclear,0.00100000000
8,2035,Eastern,2020,Nuclear,0.00100000000
8,2040,Eastern,2020,Nuclear,0.00100000000
8,2045,Eastern,2020,Nuclear,0.00100000000
8,2049,Eastern,2020,Nuclear,0.00100000000
8,2050,Eastern,2020,Nuclear,0.00100000000
9,2030,Eastern,2020,Solar,5.39200000000
9,2035,Eastern,2020,Solar,5.12300000000
9,2040,Eastern,2020,Solar,4.86600000000
9,2045,Eastern,2020,Solar,4.62300000000
9,2049,Eastern,2020,Solar,4.43820000000
9,2050,Eastern,2020,Solar,4.39200000000
10,2030,Eastern,2020,Thermoelectric,7.41800000000
10,2035,Eastern,2020,Thermoelectric,7.04700000000
10,2040,Eastern,2020,Thermoelectric,6.69500000000
10,2045,Eastern,2020,Thermoelectric,6.36000000000
10,2049,Eastern,2020,Thermoelectric,6.10560000000
10,2050,Eastern,2020,Thermoelectric,6.04200000000
11,2030,Eastern,2020,Turbogas,14.14200000000
11,2035,Eastern,2020,Turbogas,13.43400000000
11,2040,Eastern,2020,Turbogas,12.76300000000
11,2045,Eastern,2020,Turbogas,12.12500000000
11,2049,Eastern,2020,Turbogas,11.63940000000
11,2050,Eastern,2020,Turbogas,11.51800000000
12,2030,Eastern,2020,Wind,52.54400000000
12,2035,Eastern,2020,Wind,49.91700000000
12,2040,Eastern,2020,Wind,47.42100000000
12,2045,Eastern,2020,Wind,45.05000000000
12,2049,Eastern,2020,Wind,43.24760000000
12,2050,Eastern,2020,Wind,42.79700000000
13,2030,Western,2020,Bioenergy,0.71700000000
13,2035,Western,2020,Bioenergy,0.68200000000
13,2040,Western,2020,Bioenergy,0.64800000000
13,2045,Western,2020,Bioenergy,0.61500000000
13,2049,Western,2020,Bioenergy,0.59020000000
13,2050,Western,2020,Bioenergy,0.58400000000
14,2030,Western,2020,CC,95.38800000000
14,2035,Western,2020,CC,90.61800000000
14,2040,Western,2020,CC,86.08700000000
14,2045,Western,2020,CC,81.78300000000
14,2049,Western,2020,CC,78.51180000000
14,2050,Western,2020,CC,77.69400000000
15,2030,Western,2020,CHP,0.06100000000
15,2035,Western,2020,CHP,0.05800000000
15,2040,Western,2020,CHP,0.05500000000
15,2045,Western,2020,CHP,0.05300000000
15,2049,Western,2020,CHP,0.05060000000
15,2050,Western,2020,CHP,0.05000000000
16,2030,Western,2020,Coal,38.97900000000
16,2035,Western,2020,Coal,37.03000000000
16,2040,Western,2020,Coal,35.17800000000
16,2045,Western,2020,Coal,33.41900000000
16,2049,Western,2020,Coal,32.08220000000
16,2050,Western,2020,Coal,31.74800000000
17,2030,Western,2020,FB,8.13700000000
17,2035,Western,2020,FB,7.73000000000
17,2040,Western,2020,FB,7.34400000000
17,2045,Western,2020,FB,6.97600000000
17,2049,Western,2020,FB,6.69760000000
17,2050,Western,2020,FB,6.62800000000
18,2030,Western,2020,Geothermal,6.36900000000
18,2035,Western,2020,Geothermal,6.05000000000
18,2040,Western,2020,Geothermal,5.74800000000
18,2045,Western,2020,Geothermal,5.46000000000
18,2049,Western,2020,Geothermal,5.24160000000
18,2050,Western,2020,Geothermal,5.18700000000
19,2030,Western,2020,Hydroelectric,190.47580000000
19,2035,Western,2020,Hydroelectric,187.88280000000
19,2040,Western,2020,Hydroelectric,185.41880000000
19,2045,Western,2020,Hydroelectric,183.07780000000
19,2049,Western,2020,Hydroelectric,181.29940000000
19,2050,Western,2020,Hydroelectric,42.24600000000
20,2030,Western,2020,IC,1.42400000000
20,2035,Western,2020,IC,1.35300000000
20,2040,Western,2020,IC,1.28500000000
20,2045,Western,2020,IC,1.22100000000
20,2049,Western,2020,IC,1.17220000000
20,2050,Western,2020,IC,1.16000000000
21,2030,Western,2020,Nuclear,42.73900000000
21,2035,Western,2020,Nuclear,40.60200000000
21,2040,Western,2020,Nuclear,38.57200000000
21,2045,Western,2020,Nuclear,36.64300000000
21,2049,Western,2020,Nuclear,35.17740000000
21,2050,Western,2020,Nuclear,34.81100000000
22,2030,Western,2020,Solar,5.39200000000
22,2035,Western,2020,Solar,5.12300000000
22,2040,Western,2020,Solar,4.86600000000
22,2045,Western,2020,Solar,4.62300000000
22,2049,Western,2020,Solar,4.43820000000
22,2050,Western,2020,Solar,4.39200000000
23,2030,Western,2020,Thermoelectric,15.59400000000
23,2035,Western,2020,Thermoelectric,14.81400000000
23,2040,Western,2020,Thermoelectric,14.07400000000
23,2045,Western,2020,Thermoelectric,13.37000000000
23,2049,Western,2020,Thermoelectric,12.83560000000
23,2050,Western,2020,Thermoelectric,12.70200000000
24,2030,Western,2020,Turbogas,7.60100000000
24,2035,Western,2020,Turbogas,7.22100000000
24,2040,Western,2020,Turbogas,6.86000000000
24,2045,Western,2020,Turbogas,6.51700000000
24,2049,Western,2020,Turbogas,6.25620000000
24,2050,Western,2020,Turbogas,6.19100000000
25,2030,Western,2020,Wind,12.11300000000
25,2035,Western,2020,Wind,11.50700000000
25,2040,Western,2020,Wind,10.93200000000
25,2045,Western,2020,Wind,10.38500000000
25,2049,Western,2020,Wind,9.96980000000
25,2050,Western,2020,Wind,9.86600000000
